algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,195,9523,8
QuickSort,random,1000,0,178,15891,7
QuickSelect,random,1000,0,303,5228,14
MergeSort,sorted,1000,0,066,4236,8
QuickSort,sorted,1000,0,177,16756,8
QuickSelect,sorted,1000,0,284,7886,21
MergeSort,duplicates,1000,0,135,9036,8
QuickSort,duplicates,1000,0,093,6412,3
QuickSelect,duplicates,1000,0,066,3161,3
MergeSort,random,10000,3,243,127212,11
QuickSort,random,10000,1,078,225315,10
QuickSelect,random,10000,0,417,58123,18
MergeSort,sorted,10000,0,250,59248,11
QuickSort,sorted,10000,0,467,242134,10
QuickSelect,sorted,10000,0,272,37811,21
MergeSort,duplicates,10000,0,654,121712,11
QuickSort,duplicates,10000,0,365,47819,4
QuickSelect,duplicates,10000,0,278,24043,2
MergeSort,random,100000,7,869,1639343,14
QuickSort,random,100000,8,101,3025187,12
QuickSelect,random,100000,1,386,428459,22
MergeSort,sorted,100000,2,014,744016,14
QuickSort,sorted,100000,4,868,2906076,12
QuickSelect,sorted,100000,0,566,304552,14
MergeSort,duplicates,100000,4,054,1563025,14
QuickSort,duplicates,100000,1,235,599773,3
QuickSelect,duplicates,100000,0,867,418545,6
MergeSort,random,1000000,95,895,19889337,18
QuickSort,random,1000000,91,222,36530060,14
QuickSelect,random,1000000,8,512,3039572,23
MergeSort,sorted,1000000,24,154,9071040,18
QuickSort,sorted,1000000,51,767,36660889,15
QuickSelect,sorted,1000000,4,739,4839523,26
MergeSort,duplicates,1000000,44,729,18922524,18
QuickSort,duplicates,1000000,11,013,5303297,3
QuickSelect,duplicates,1000000,10,122,5502883,7
